0002,0,1,[0.;1.;0.;0.;0.;0.;0.;1.;0.;0.;0.;0.;0.;0.],0
0004,0,4,[0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;1.;0.;1.;0.],0
0004,0,6,[0.;0.;1.;0.;0.;0.;0.;0.;0.;0.;1.;0.;1.;0.],0
0004,4,6,[0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;1.;1.;1.;0.],0
0006,1,4,[0.;1.;0.;1.;1.;0.;0.;0.;1.;0.;0.;0.;0.;0.],0
0006,1,6,[1.;1.;1.;1.;1.;0.;1.;0.;0.;0.;0.;0.;0.;0.],0
0006,4,6,[0.;1.;0.;1.;1.;0.;1.;0.;1.;0.;0.;0.;0.;0.],0
0008,0,4,[0.;1.;0.;0.;0.;0.;0.;0.;0.;0.;1.;0.;1.;0.],1
0008,1,2,[0.;1.;0.;0.;0.;0.;0.;1.;0.;0.;0.;0.;0.;0.],0
0010,0,3,[0.;1.;0.;1.;1.;0.;1.;0.;1.;0.;1.;0.;1.;0.],0
0010,0,6,[1.;1.;1.;1.;1.;0.;1.;0.;0.;0.;0.;0.;0.;0.],0
0010,3,6,[0.;1.;0.;1.;1.;0.;0.;0.;1.;0.;0.;1.;0.;0.],0
0016,1,4,[0.;1.;0.;0.;1.;0.;1.;0.;1.;0.;1.;1.;1.;0.],0
0018,3,5,[0.;1.;0.;0.;0.;0.;1.;0.;0.;0.;0.;0.;0.;0.],0
0030,0,16,[0.;0.;0.;1.;1.;0.;0.;0.;0.;0.;0.;0.;0.;0.],0
0030,4,17,[1.;0.;0.;1.;1.;0.;0.;0.;0.;0.;0.;0.;0.;0.],0
0030,10,11,[0.;1.;0.;0.;0.;0.;0.;1.;0.;0.;0.;0.;0.;0.],0
0030,12,13,[0.;1.;0.;0.;0.;0.;0.;1.;0.;0.;0.;0.;0.;0.],0
0040,0,8,[0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;1.;0.;1.;0.],0
0040,0,11,[0.;0.;1.;0.;0.;0.;0.;0.;0.;0.;1.;0.;1.;0.],0
0040,8,11,[0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;1.;1.;1.;0.],0
0040,4,9,[0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;1.;0.;1.;0.],0
0040,2,6,[0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;1.;1.;1.;0.],0
0042,1,8,[0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;1.;1.;1.;0.],0
0042,4,5,[0.;1.;0.;0.;0.;0.;0.;1.;0.;0.;0.;0.;0.;0.],0
0042,4,9,[0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;1.;1.;1.;1.],0
0042,5,9,[0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;1.;1.;1.;1.],0
