0018,4,3,5,[1;1;0;0;0;0.5;0.5;1.0],1
0064,3,0,4,[1;1;1;0;1;0.25;0.3333333333333333;1.0],1
0070,2,1,3,[1;1;0;0;1;0.5;1.0;1.0],1
0074,3,2,4,[1;1;0;0;1;0.5;1.0;1.0],1
0086,6,1,4,[1;0;0;0;0;0.3333333333333333;0.2;0.5],0
0086,6,1,5,[1;0;1;0;0;0.25;0.2;1.0],0
0086,6,1,7,[1;1;1;0;1;0.16666666666666666;0.2;1.0],0
0086,6,4,5,[1;0;1;0;0;1.0;0.5;1.0],0
0086,6,4,7,[1;1;1;0;1;0.3333333333333333;0.5;1.0],0
0086,6,5,7,[1;1;1;0;1;0.5;1.0;1.0],0
0094,0,1,2,[1;0;0;0;0;1.0;1.0;1.0],1
0128,2,3,4,[1;0;0;0;0;1.0;1.0;1.0],1
0128,2,3,0,[1;0;1;0;0;1.0;1.0;0.5],0
0128,2,3,1,[1;0;0;0;0;1.0;1.0;1.0],0
0128,2,4,0,[1;0;1;0;0;1.0;1.0;0.5],0
0128,2,4,1,[1;0;0;0;0;1.0;1.0;1.0],0
0128,2,0,1,[1;0;1;0;0;1.0;0.5;1.0],1
0136,3,1,4,[1;1;1;0;1;0.3333333333333333;0.5;1.0],1
