0004,2,0,[0.5;1.;0.;0.;0.;1.;0.;0.;1.],0
0004,2,4,[0.5;0.;1.;0.;0.;0.;0.;0.;0.],0
0004,2,6,[0.25;0.;1.;0.;0.;0.;0.;1.;0.],0
0004,1,0,[1.0;1.;0.;0.;1.;1.;0.;0.;0.],1
0004,1,4,[0.3333333333333333;0.;1.;0.;1.;0.;0.;0.;0.],0
0004,1,6,[0.2;0.;1.;0.;1.;0.;0.;1.;0.],0
0004,3,0,[0.3333333333333333;1.;0.;0.;1.;0.;0.;0.;0.],0
0004,3,4,[1.0;0.;1.;1.;0.;1.;0.;0.;0.],0
0004,3,6,[0.3333333333333333;0.;1.;0.;1.;0.;0.;1.;0.],0
0004,5,0,[0.2;1.;0.;0.;1.;0.;1.;0.;0.],0
0004,5,4,[1.0;1.;0.;0.;1.;0.;0.;0.;0.],1
0004,5,6,[1.0;0.;1.;1.;0.;1.;0.;0.;0.],0
0006,0,1,[1.0;0.;1.;1.;0.;1.;0.;0.;0.],1
0006,0,4,[0.25;0.;1.;0.;1.;1.;0.;1.;1.],0
0006,0,6,[0.16666666666666666;0.;1.;0.;1.;1.;0.;1.;1.],0
0006,0,7,[0.14285714285714285;0.;1.;0.;1.;1.;0.;0.;1.],0
0006,3,1,[0.5;1.;0.;0.;1.;1.;0.;0.;1.],0
0006,3,4,[1.0;0.;1.;0.;1.;1.;0.;0.;0.],0
0006,3,6,[0.3333333333333333;0.;1.;0.;1.;1.;0.;1.;1.],0
0006,3,7,[0.25;0.;1.;0.;1.;1.;0.;0.;1.],0
0008,1,0,[1.0;0.;0.;0.;0.;1.;0.;0.;1.],1
0008,1,4,[0.5;0.;0.;0.;0.;1.;1.;0.;0.],0
0008,2,0,[1.0;0.;0.;0.;0.;1.;0.;1.;1.],1
0008,2,4,[0.5;0.;0.;0.;0.;1.;0.;0.;0.],0
0008,3,0,[0.5;1.;0.;0.;1.;1.;0.;0.;1.],0
0008,3,4,[1.0;0.;1.;1.;0.;1.;0.;0.;0.],1
0010,1,0,[1.0;0.;0.;0.;0.;1.;0.;0.;1.],1
0010,1,3,[0.5;0.;0.;0.;0.;1.;0.;0.;1.],0
0010,1,6,[0.25;0.;0.;0.;0.;1.;0.;1.;1.],0
0010,5,0,[0.25;1.;0.;0.;0.;1.;1.;0.;1.],0
0010,5,3,[1.0;1.;0.;0.;0.;1.;0.;0.;1.],0
